volumeto,high,low,time,volumefrom,close,open
588757.1,10.9,10.4,1351900800,55260.02,10.75,10.47
924546.75,11.22,10.67,1352160000,84788,10.93,10.75
442782.2,10.98,10.7,1352419200,40843.05,10.87,10.93
884086.1,11.18,10.77,1352678400,80517.77,10.95,10.87
1245817.82,11.8,10.86,1352937600,109259.78,11.79,10.95
795268.98,11.84,11.57,1353196800,67932.25,11.73,11.79
1162262.54,12.43,11.64,1353456000,96497,12.35,11.73
985801.06,12.65,11.89,1353715200,79507.9,12.25,12.35
1108145.7,12.6,11.9,1353974400,90388.24,12.45,12.25
666687.06,12.69,12.42,1354233600,53058.66,12.5,12.45
1555848.96,13.5,12.48,1354492800,119800.25,13.38,12.5
1238201.58,13.69,12.9,1354752000,92533.62,13.42,13.38
1082442.85,13.67,13.02,1355011200,80877.4,13.56,13.42
1794944.88,13.9,13,1355270400,132020.89,13.6,13.56
1615659.8,13.67,12.75,1355529600,121579.46,13.25,13.6
1273853.88,13.72,13.11,1355788800,95007.97,13.52,13.25
857987.64,13.6,13.01,1356048000,64092.07,13.31,13.52
609929.6,13.47,13.14,1356307200,45697.97,13.47,13.31
938257.46,13.67,13.25,1356566400,69784.2,13.4,13.47
739955.46,13.59,13.16,1356825600,55220.2,13.3,13.4
877886.39,13.52,13.16,1357084800,65640.98,13.5,13.3
802512.85,13.59,13.31,1357344000,59548.78,13.59,13.5
1708206.58,14.32,13.5,1357603200,123215.78,14.14,13.59
1492983.81,14.35,13.91,1357862400,105696.53,14.12,14.14
1708374.76,14.73,13.99,1358121600,119202.67,14.73,14.12
2407508.65,15.99,14.63,1358380800,156175.81,15.62,14.73
2462041.22,17.59,15.51,1358640000,148459.47,17.26,15.62
5250300.58,19.19,15.39,1358899200,302215.96,17.4,17.26
2074246.59,18.88,16.54,1359158400,116246.86,18.72,17.4
4570228.32,21.43,18.7,1359417600,230373.61,20.41,18.72
3295794.04,21.13,18,1359676800,164663.43,20.59,20.41
2763916.04,21.33,19.86,1359936000,133421.18,21.18,20.59
3365178.3,23.99,20.77,1360195200,151046.71,23.65,21.18
3896533.7,25.83,22.67,1360454400,160192.73,25.17,23.65
7403111.28,27.6,21.72,1360713600,287599.1,27.1,25.17
3340902.98,27.5,25,1360972800,125613.43,26.95,27.1
4937578.39,29.98,26.8,1361232000,171639.12,29.75,26.95
4862115.7,31.3,28,1361491200,163504.75,29.89,29.75
3085855.18,31.7,29.55,1361750400,100116.06,30.9,29.89
6740483.06,34.9,30.9,1362009600,202966.04,34.25,30.9
5447883.02,40.65,33.8,1362268800,144721.6,40.33,34.25
14184829.94,49.1,33.3,1362528000,330863.77,44.18,40.33
5694778.84,48.47,43.41,1362787200,122229.32,48.4,44.18
12065788.23,48.4,36.65,1363046400,269968.07,47.17,48.4
2379765.54,47.74,46.27,1363305600,50538.03,47.4,47.17
15163585.21,66,47.12,1363564800,270152.54,64.49,47.4
21115559.31,74.9,52.35,1363824000,317967.44,64.35,64.49
13195004.06,79.72,62.7,1364083200,178433.66,78.5,64.35
25774957.45,95.7,75,1364342400,295664.4,90.5,78.5
14439075.62,106,87,1364601600,148977.28,104,90.5
39904179.63,147,99,1364860800,322360.93,132.12,104
21551748.37,164.9,130.24,1365120000,147831.92,162.3,132.12
78574206.57,266,105,1365379200,410267.7,165,162.3
92763827.94,188.7,54.25,1365638400,913563.33,93,165
74206364.06,110,50.01,1365897600,975297.29,68.36,93
75497099.52,136.43,63.3,1366156800,757772.71,118.48,68.36
28557252.8,132,110,1366416000,232648.93,127.4,118.48
76837398.86,166.43,120.09,1366675200,529694.22,141.71,127.4
28582168.42,144.99,121.45,1366934400,216414.09,134.44,141.71
40902505.65,149.08,104,1367193600,315447.34,116.38,134.44
61588075.92,126.9,79,1367452800,613269.3,112.9,116.38
42069552.86,124.9,97.52,1367712000,373944.66,109.6,112.9
19151549.89,122.5,108.8,1367971200,166152.78,117.7,109.6
8665522.49,118.88,112.4,1368230400,74816.56,117.98,117.7
28310616.46,119.8,103.02,1368489600,250974.75,118.21,117.98
14920758.35,125.56,116.57,1368748800,122347.87,122.5,118.21
6008701.45,124.5,120.1,1369008000,49011.21,123.8,122.5
11309822.79,133.98,123,1369267200,87729.23,131.99,123.8
12105858.23,136,124,1369526400,92988.25,129,131.99
7830335.89,132.72,126.33,1369785600,60523.23,128.82,129
16590570.23,130.1,115,1370044800,136390.59,120.74,128.82
7324817.49,123.99,117,1370304000,60689.4,118.97,120.74
23893923.68,119.13,88,1370563200,232417.56,100.44,118.97
10448801.69,112.25,95,1370822400,98151.67,108.78,100.44
9097993.75,110.3,97.1,1371081600,89021.63,99.8,108.78
8910490.21,113.3,98.9,1371340800,84462.41,107.35,99.8
10932186.89,115.01,104.66,1371600000,98727,109.5,107.35
4966141.82,109.96,100.76,1371859200,47229.83,102.09,109.5
12643983.67,109.98,100,1372118400,121671.17,101.74,102.09
7927049.44,101.79,92.25,1372377600,81879.4,97.51,101.74
13482174.07,98.18,76,1372636800,154547.53,78.89,97.51
14339994.12,84.27,65.42,1372896000,195647.24,69.66,78.89
10045562.36,80,66.6,1373155200,134466.26,76.7,69.66
17859196.45,104.17,75.53,1373414400,197190.83,93.99,76.7
7798093.49,101.94,87.76,1373673600,81304.47,98.89,93.99
8745359.51,100.73,86.2,1373932800,93302.29,90.07,98.89
4197395.17,95.2,87.6,1374192000,45881.68,92,90.07
4555483.05,97.13,89.8,1374451200,48312.49,95.09,92
4682006.59,97.48,93,1374710400,48784.25,94.4,95.09
9553237.48,107.99,94,1374969600,94817.13,107.96,94.4
9390897.93,111.65,101.21,1375228800,88021.54,104.5,107.96
3241062.44,107.77,102,1375488000,30716.91,106.72,104.5
4726075.41,107.5,100.96,1375747200,45143.82,103.05,106.72
2504330.34,105.79,101.94,1376006400,24203.6,105,103.05
9835506.96,115,103.5,1376265600,89400.32,112.56,105
4675110.77,114,108.21,1376524800,42181.24,112.75,112.56
10293427.16,123.75,111.77,1376784000,86976.33,121.2,112.75
7780762.96,125,118.44,1377043200,64070.29,118.51,121.2
3359267.77,122.99,118.02,1377302400,27839.93,120.07,118.51
9569260.87,133,120,1377561600,74632.21,129.3,120.07
12758668.64,148.7,128.56,1377820800,91315,146.01,129.3
7953337.63,148.91,130.09,1378080000,56405.36,132.51,146.01
